4,628;6,740;4,628;2,759;3,150;6,740;0,038;0,034;1,292;1,643;1,197;1,029;1,292;1,643;0,014;0,011;1168,750;1064,583;877,083;991,667;1168,750;1064,583;7827,083;7714,583;1,403;1,446;0,522;0,359;0,495;0,680;0,009;0,008;2,850;0,043;0,881;0,163;1,174;0,185;0,017;0,000;41,044;41,702;320,139;381,874;21,579;21,880;42,000;42,000;
3,541;7,851;1,454;2,556;3,541;7,851;0,063;0,059;1,120;4,183;0,454;0,559;1,120;4,183;0,024;0,014;1122,917;1064,583;762,500;783,333;1122,917;1064,583;7827,083;7841,667;0,998;1,767;0,213;0,327;0,420;0,900;0,012;0,012;2,765;0,770;0,540;0,114;1,321;0,480;0,025;0,000;34,620;46,088;279,658;423,048;23,864;26,230;42,000;42,000;
6,809;7,219;6,809;4,996;5,692;7,219;0,036;0,033;1,634;2,650;1,634;2,650;1,606;2,149;0,013;0,012;993,750;762,500;993,750;762,500;1018,750;1002,083;7700,000;7758,333;1,624;2,123;0,688;0,540;0,583;1,124;0,008;0,007;3,748;0,499;1,227;0,148;1,707;0,541;0,015;0,001;44,152;50,481;419,961;388,464;23,071;23,847;42,000;42,000;
4,916;4,308;4,916;2,251;2,836;4,308;0,046;0,042;2,334;1,231;2,334;0,677;1,054;1,231;0,018;0,012;808,333;1135,417;808,333;985,417;1222,917;1135,417;7581,250;7693,750;1,486;1,376;0,589;0,390;0,540;0,577;0,010;0,009;2,862;0,110;0,980;0,199;1,116;0,037;0,019;0,001;42,231;40,656;382,783;317,174;21,508;21,488;42,000;42,000;
2,378;4,107;1,341;2,073;2,378;4,107;0,052;0,058;0,782;1,276;0,413;0,848;0,782;1,276;0,020;0,017;1047,917;1043,750;943,750;993,750;1047,917;1043,750;7845,833;7997,917;0,924;1,397;0,195;0,327;0,359;0,539;0,012;0,012;2,321;0,473;0,521;0,132;0,898;0,181;0,025;0,000;33,325;40,964;250,211;373,731;24,175;25,785;42,000;42,000;
7,556;8,688;7,556;3,945;5,424;8,688;0,041;0,041;2,936;3,072;2,936;1,590;1,361;3,072;0,015;0,011;977,083;1006,250;977,083;979,167;1014,583;1006,250;7895,833;7735,417;1,717;2,149;0,759;0,499;0,592;1,172;0,009;0,009;3,866;0,432;1,257;0,260;1,763;0,580;0,018;0,001;45,395;50,784;346,394;415,862;22,818;24,178;42,000;42,000;
4,321;7,093;4,321;2,172;2,990;7,093;0,034;0,043;1,064;1,523;1,064;0,672;0,965;1,523;0,009;0,013;781,250;1135,417;781,250;981,250;1054,167;1135,417;7600,000;7968,750;1,469;1,420;0,585;0,314;0,549;0,724;0,008;0,009;2,890;0,049;0,899;0,271;1,273;0,176;0,017;0,001;42,000;41,295;334,544;337,641;21,495;21,787;42,000;42,000;
3,677;9,600;1,659;3,047;3,677;9,600;0,055;0,052;0,892;3,696;0,469;0,643;0,892;3,696;0,018;0,017;1154,167;1104,167;975,000;985,417;1154,167;1104,167;7791,667;7937,500;1,075;1,718;0,199;0,321;0,508;0,900;0,012;0,013;2,793;0,643;0,520;0,122;1,407;0,392;0,025;0,000;35,919;45,418;305,928;391,701;24,380;25,915;42,000;42,000;
9,471;6,667;9,471;3,038;6,344;6,667;0,038;0,038;2,512;1,821;2,512;0,934;1,340;1,821;0,015;0,012;983,333;1050,000;983,333;783,333;1008,333;1050,000;7710,417;7637,500;1,649;1,758;0,722;0,441;0,569;0,865;0,009;0,008;3,407;0,110;1,163;0,281;1,434;0,296;0,018;0,001;44,481;45,935;310,359;354,639;23,222;23,542;42,000;42,000;
9,013;2,672;5,316;2,183;9,013;2,672;0,063;0,052;2,647;0,870;2,494;0,870;2,647;0,711;0,018;0,017;1216,667;835,417;843,750;835,417;1216,667;1125,000;7933,333;7920,833;1,575;1,243;0,596;0,372;0,613;0,458;0,012;0,010;2,818;0,332;0,967;0,224;1,071;0,155;0,022;0,002;51,202;39,262;326,971;294,396;22,182;21,667;42,000;42,000;
