6,128;1,516;6,128;1,516;5,585;1,305;0,043;0,036;1,898;0,489;1,898;0,489;1,546;0,253;0,014;0,008;992,188;965,625;992,188;965,625;1167,188;1004,688;7879,688;7918,750;1,638;0,488;0,577;0,149;0,666;0,167;0,006;0,006;2,126;1,150;0,726;0,428;0,833;0,499;0,012;0,000;51,197;27,955;770,624;234,649;22,987;16,302;42,000;42,000;
2,700;2,118;1,753;1,484;2,700;2,118;0,032;0,033;0,456;0,506;0,456;0,377;0,417;0,506;0,009;0,009;992,188;1082,813;992,188;998,438;1006,250;1082,813;7873,438;7853,125;0,618;0,543;0,181;0,123;0,215;0,211;0,005;0,006;1,162;0,075;0,304;0,058;0,426;0,004;0,011;0,001;31,460;29,527;269,035;227,652;21,317;19,223;42,000;42,000;
6,315;1,611;4,874;1,611;2,920;1,477;0,044;0,054;1,039;0,438;1,039;0,394;0,816;0,438;0,012;0,016;995,313;1021,875;995,313;982,813;1096,875;1021,875;7693,750;7810,938;1,150;0,561;0,367;0,116;0,446;0,184;0,008;0,007;1,711;0,590;0,483;0,251;0,630;0,261;0,015;0,001;42,901;29,954;419,433;243,592;24,064;20,107;42,000;42,000;
5,764;2,102;3,106;0,972;5,764;2,102;0,026;0,034;1,251;0,494;0,942;0,210;1,251;0,494;0,007;0,008;1007,813;1134,375;995,313;993,750;1007,813;1134,375;7995,313;7957,813;1,085;0,440;0,301;0,100;0,508;0,190;0,004;0,005;1,526;0,645;0,401;0,202;0,698;0,318;0,009;0,000;41,676;26,554;571,296;245,172;20,251;15,119;42,000;42,000;
2,125;2,194;1,631;1,163;2,125;2,194;0,033;0,046;0,535;0,480;0,535;0,438;0,422;0,480;0,010;0,008;735,938;1043,750;735,938;960,938;1018,750;1043,750;7975,000;7867,188;0,635;0,509;0,189;0,107;0,216;0,203;0,006;0,006;1,144;0,125;0,296;0,082;0,419;0,013;0,011;0,000;31,872;28,568;307,720;243,769;22,128;19,158;42,000;42,000;
4,522;2,019;2,874;0,930;4,522;2,019;0,054;0,043;1,171;0,551;0,499;0,244;1,171;0,551;0,015;0,012;1079,688;1121,875;748,438;954,688;1079,688;1121,875;7973,438;7929,688;1,029;0,574;0,233;0,103;0,488;0,225;0,007;0,008;1,603;0,455;0,337;0,130;0,713;0,262;0,015;0,000;40,577;30,318;467,116;255,756;23,663;20,492;42,000;42,000;
6,924;2,001;5,123;1,109;6,924;2,001;0,026;0,023;1,482;0,418;1,229;0,401;1,482;0,418;0,009;0,005;1010,938;1056,250;998,438;993,750;1010,938;1056,250;7900,000;7940,625;1,233;0,423;0,353;0,102;0,595;0,199;0,004;0,003;1,656;0,809;0,455;0,251;0,794;0,396;0,008;0,001;44,442;26,031;401,007;241,839;20,465;13,696;42,000;42,000;
3,157;1,827;1,787;1,222;3,157;1,827;0,037;0,033;1,137;0,504;0,411;0,256;1,137;0,504;0,011;0,008;1056,250;1056,250;989,063;985,938;1056,250;1056,250;7823,438;7878,125;0,679;0,551;0,155;0,108;0,269;0,231;0,005;0,005;1,230;0,129;0,263;0,047;0,500;0,038;0,010;0,000;32,974;29,734;310,422;241,523;23,190;19,203;42,000;42,000;
6,007;3,476;3,588;0,997;6,007;3,476;0,037;0,050;1,734;1,025;0,576;0,261;1,734;1,025;0,013;0,013;1125,000;1059,375;968,750;995,313;1125,000;1059,375;7709,375;7942,188;1,239;0,600;0,294;0,088;0,611;0,269;0,007;0,007;1,839;0,639;0,381;0,206;0,880;0,342;0,014;0,000;44,532;30,990;499,144;243,833;24,644;20,603;42,000;42,000;
8,583;3,264;3,405;0,927;8,583;3,264;0,040;0,025;3,425;0,577;0,696;0,225;3,425;0,577;0,011;0,007;1065,625;1106,250;971,875;1000,000;1065,625;1106,250;7884,375;7817,188;1,385;0,471;0,260;0,084;0,841;0,268;0,005;0,004;1,856;0,914;0,344;0,176;1,108;0,573;0,010;0,001;47,087;27,459;396,174;224,572;21,711;14,390;42,000;42,000;
1,954;1,754;1,379;1,116;1,954;1,754;0,030;0,037;0,637;0,420;0,637;0,218;0,637;0,420;0,009;0,011;1000,000;1071,875;1000,000;978,125;1000,000;1071,875;7917,188;7807,813;0,609;0,535;0,175;0,135;0,222;0,202;0,005;0,006;1,144;0,074;0,310;0,040;0,424;0,021;0,011;0,001;31,235;29,260;295,820;231,616;20,829;18,296;42,000;42,000;
5,045;3,822;2,595;1,199;5,045;3,822;0,061;0,039;1,591;0,871;0,702;0,375;1,591;0,871;0,015;0,011;1028,125;1132,813;965,625;1000,000;1028,125;1132,813;7876,563;7881,250;1,151;0,682;0,271;0,117;0,525;0,332;0,008;0,007;1,833;0,469;0,389;0,154;0,857;0,192;0,015;0,001;42,920;33,076;495,701;275,947;24,447;20,138;42,000;42,000;
4,603;2,111;2,942;0,996;4,603;2,111;0,037;0,020;1,356;0,439;1,356;0,324;1,223;0,439;0,008;0,005;982,813;1040,625;982,813;993,750;1035,938;1040,625;7971,875;7850,000;0,964;0,364;0,279;0,087;0,449;0,168;0,004;0,003;1,328;0,599;0,366;0,191;0,618;0,281;0,007;0,001;39,295;24,182;403,489;198,281;18,737;13,001;42,000;42,000;
3,162;2,519;1,654;1,116;3,162;2,519;0,034;0,037;0,633;0,502;0,387;0,380;0,633;0,502;0,011;0,012;1114,063;1004,688;956,250;965,625;1114,063;1004,688;7653,125;7903,125;0,662;0,610;0,146;0,129;0,284;0,264;0,005;0,006;1,272;0,052;0,275;0,017;0,548;0,021;0,011;0,001;32,549;31,249;369,065;267,648;21,969;19,474;42,000;42,000;
