1,292;2,686;1,268;2,180;1,292;2,686;0,068;0,057;0,257;0,467;0,250;0,395;0,257;0,467;0,014;0,012;1206,250;1210,938;889,063;979,688;1206,250;1210,938;7815,625;7946,875;0,440;0,755;0,115;0,223;0,127;0,259;0,010;0,011;1,195;0,315;0,339;0,108;0,385;0,132;0,021;0,001;26,537;34,751;233,576;285,099;18,846;19,782;42,000;42,000;
1,138;3,961;1,138;1,748;1,096;3,961;0,027;0,015;0,294;1,005;0,294;0,399;0,279;1,005;0,011;0,006;978,125;1190,625;978,125;893,750;1229,688;1190,625;7548,438;7578,125;0,363;0,735;0,093;0,175;0,109;0,296;0,003;0,002;1,098;0,372;0,268;0,083;0,404;0,187;0,005;0,001;24,086;34,294;192,801;416,725;15,989;17,637;42,000;42,000;
0,974;2,243;0,974;2,243;0,951;1,229;0,040;0,034;0,269;0,550;0,228;0,550;0,269;0,344;0,012;0,009;1182,813;987,500;992,188;987,500;1182,813;1195,313;7806,250;7970,313;0,361;0,507;0,077;0,150;0,114;0,150;0,006;0,007;0,867;0,146;0,226;0,073;0,264;0,036;0,013;0,001;24,026;28,479;186,220;289,477;17,436;18,005;42,000;42,000;
1,328;3,033;1,328;3,033;1,118;2,665;0,066;0,070;0,439;0,732;0,407;0,732;0,439;0,649;0,019;0,021;1198,438;862,500;979,688;862,500;1198,438;1246,875;7981,250;7775,000;0,430;0,869;0,112;0,257;0,110;0,320;0,009;0,014;1,299;0,440;0,369;0,145;0,430;0,210;0,023;0,004;33,286;37,546;204,659;384,251;19,146;20,546;42,000;42,000;
1,931;3,403;1,329;3,162;1,931;3,403;0,028;0,016;0,674;1,105;0,266;0,736;0,674;1,105;0,006;0,004;1185,938;1220,313;973,438;837,500;1185,938;1220,313;7589,063;7520,313;0,450;0,910;0,114;0,259;0,153;0,367;0,004;0,002;1,360;0,460;0,373;0,145;0,520;0,214;0,007;0,002;34,577;38,435;223,233;481,216;16,346;18,665;42,000;42,000;
1,147;1,512;1,015;1,257;1,147;1,512;0,036;0,048;0,216;0,345;0,216;0,330;0,196;0,345;0,010;0,016;968,750;1235,938;968,750;951,563;1192,188;1235,938;7817,188;7682,813;0,401;0,521;0,104;0,149;0,116;0,151;0,007;0,008;0,921;0,120;0,253;0,045;0,267;0,036;0,015;0,002;33,172;29,224;209,104;285,579;17,455;18,704;42,000;42,000;
2,302;3,139;2,302;3,139;0,936;2,700;0,058;0,071;0,406;0,941;0,406;0,653;0,244;0,941;0,017;0,026;964,063;1234,375;964,063;945,313;1126,563;1234,375;7775,000;7657,813;0,465;0,927;0,148;0,294;0,118;0,344;0,009;0,013;1,392;0,462;0,442;0,145;0,461;0,226;0,022;0,004;28,168;38,544;222,065;365,683;18,640;20,504;42,000;42,000;
1,784;3,392;1,153;2,618;1,784;3,392;0,030;0,019;0,447;1,018;0,255;0,524;0,447;1,018;0,007;0,004;1192,188;1232,813;870,313;851,563;1192,188;1232,813;7629,688;7545,313;0,459;0,880;0,117;0,223;0,154;0,367;0,004;0,003;1,340;0,421;0,341;0,106;0,521;0,213;0,007;0,002;27,833;37,561;219,008;402,217;17,002;18,492;42,000;42,000;
2,056;1,521;1,018;1,204;2,056;1,521;0,046;0,050;0,443;0,577;0,251;0,316;0,443;0,577;0,012;0,010;1239,063;1207,813;987,500;953,125;1239,063;1207,813;7810,938;7790,625;0,442;0,554;0,095;0,141;0,154;0,184;0,007;0,007;0,996;0,112;0,236;0,047;0,338;0,030;0,014;0,001;37,984;30,317;240,295;310,730;17,816;18,479;42,000;42,000;
2,960;2,900;2,960;2,799;1,568;2,900;0,043;0,051;0,739;0,738;0,739;0,738;0,317;0,608;0,011;0,014;981,250;839,063;981,250;839,063;1178,125;1182,813;7910,938;7798,438;0,521;0,852;0,156;0,270;0,145;0,285;0,006;0,009;1,374;0,331;0,427;0,114;0,430;0,140;0,015;0,003;30,853;37,005;232,741;406,992;20,539;21,372;42,000;42,000;
2,156;3,031;1,120;1,763;2,156;3,031;0,031;0,021;0,644;0,695;0,346;0,531;0,644;0,695;0,008;0,006;1228,125;1239,063;873,438;868,750;1228,125;1239,063;7500,000;7589,063;0,472;0,714;0,119;0,159;0,160;0,290;0,004;0,002;1,186;0,242;0,277;0,040;0,450;0,130;0,006;0,001;27,585;33,800;221,224;298,811;17,119;18,145;42,000;42,000;
1,274;1,686;1,243;0,950;1,274;1,686;0,039;0,039;0,374;0,670;0,374;0,227;0,275;0,670;0,011;0,011;971,875;1206,250;971,875;950,000;1260,938;1206,250;7784,375;7843,750;0,420;0,520;0,104;0,137;0,134;0,172;0,006;0,007;0,940;0,100;0,241;0,033;0,306;0,038;0,013;0,001;26,875;28,880;252,246;242,620;17,833;17,905;42,000;42,000;
1,483;2,502;1,483;2,434;1,274;2,502;0,053;0,042;0,430;0,848;0,430;0,579;0,268;0,848;0,014;0,010;964,063;1126,563;964,063;843,750;1218,750;1126,563;7907,813;7892,188;0,475;0,746;0,140;0,226;0,122;0,256;0,009;0,009;1,220;0,271;0,366;0,085;0,379;0,134;0,018;0,000;27,885;34,551;234,641;296,242;19,623;20,030;42,000;42,000;
1,437;5,228;1,289;1,581;1,437;5,228;0,028;0,027;0,363;1,416;0,363;0,407;0,282;1,416;0,009;0,007;881,250;1215,625;881,250;960,938;1201,563;1215,625;7531,250;7715,625;0,459;0,829;0,122;0,175;0,138;0,366;0,004;0,003;1,287;0,370;0,297;0,054;0,505;0,228;0,007;0,001;32,533;36,616;226,762;357,782;16,965;18,314;42,000;42,000;
1,390;1,432;1,390;1,432;1,094;1,357;0,040;0,048;0,374;0,531;0,374;0,321;0,268;0,531;0,009;0,010;982,813;1187,500;982,813;965,625;1189,063;1187,500;7915,625;7915,625;0,397;0,523;0,097;0,131;0,116;0,177;0,007;0,008;0,920;0,126;0,228;0,034;0,293;0,061;0,015;0,001;30,632;29,169;201,765;242,500;17,715;18,030;42,000;42,000;
1,340;3,082;1,340;3,082;1,273;2,772;0,044;0,041;0,337;0,882;0,337;0,659;0,242;0,882;0,010;0,013;992,188;1206,250;992,188;921,875;1175,000;1206,250;7998,438;7803,125;0,452;0,799;0,123;0,263;0,128;0,280;0,007;0,008;1,250;0,347;0,386;0,140;0,407;0,152;0,015;0,001;28,673;35,806;243,775;382,367;19,184;20,042;42,000;42,000;
1,539;3,164;1,036;1,958;1,539;3,164;0,018;0,026;0,372;0,857;0,285;0,688;0,372;0,857;0,005;0,006;1212,500;1196,875;875,000;875,000;1212,500;1196,875;7689,063;7671,875;0,392;0,800;0,093;0,219;0,123;0,299;0,003;0,004;1,192;0,408;0,313;0,126;0,422;0,175;0,007;0,000;25,134;35,778;219,899;416,267;15,988;17,915;42,000;42,000;
0,866;1,983;0,866;1,826;0,745;1,983;0,038;0,036;0,267;0,653;0,223;0,653;0,267;0,560;0,011;0,007;1253,125;959,375;992,188;959,375;1253,125;1207,813;7723,438;7517,188;0,375;0,611;0,090;0,181;0,104;0,205;0,006;0,007;0,986;0,236;0,271;0,091;0,309;0,101;0,013;0,001;24,709;31,272;197,252;480,210;17,538;18,383;42,000;42,000;
